filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_4107_ch_125_strand.fast5	fffef072-4b77-41d4-8c81-3cd59ee27c23	13797ccf3e2df77597eb86d8e23088d7f34ba047	125	3008.907227	2.217	1773	True	3009.105957	1614	2.01825	661	9.909186	-0.001068	86.92975600000001	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_101500_ch_288_strand.fast5	fffea491-573e-4f42-9dd4-6777eb91d575	13797ccf3e2df77597eb86d8e23088d7f34ba047	288	65134.19921900001	2.76925	2215	True	65134.3125	2125	2.65675	990	11.899262	-0.002188	93.036392	10.057983
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_155538_ch_501_strand.fast5	fffe3c7f-63eb-4540-9043-3f2acb409f4e	13797ccf3e2df77597eb86d8e23088d7f34ba047	501	80596.953125	15.08875	12071	True	80596.976562	12054	15.0675	6172	9.463345	-0.001446	96.628525	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_5385_ch_85_strand.fast5	fffe28fe-eecd-418a-9437-d8f66a41a0ff	13797ccf3e2df77597eb86d8e23088d7f34ba047	85	3968.193848	3.42025	2736	True	3968.389893	2579	3.224	1426	10.284538000000001	-0.001698	85.492897	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_12322_ch_506_strand.fast5	fffe1c85-3384-4fae-a401-cd460d82b848	13797ccf3e2df77597eb86d8e23088d7f34ba047	506	7804.382323999999	4.6205	3696	True	7804.416015999999	3669	4.58675	1841	11.964288	-0.0018219999999999998	87.468575	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_78669_ch_465_strand.fast5	fffdd7e0-9423-44b7-9fbf-0212ba119d02	13797ccf3e2df77597eb86d8e23088d7f34ba047	465	47637.070312	5.0235	4018	True	47637.113281	3988	4.986	2420	8.637343	-0.001855	104.17201999999999	10.776413
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_205390_ch_158_strand.fast5	fffdc369-dcbd-4e37-b48d-aaddf923c544	13797ccf3e2df77597eb86d8e23088d7f34ba047	158	144077.890625	1.74425	1395	True	144077.9375	1358	1.698	589	9.539867	-0.002421	114.0504	11.494843
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_42428_ch_279_strand.fast5	fffda9bc-4968-4c93-944e-d49659e25fe5	13797ccf3e2df77597eb86d8e23088d7f34ba047	279	22606.845703	9.482	7585	True	22606.916016	7529	9.412	3658	10.60721	-0.001573	89.98307	10.776413
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_21338_ch_30_strand.fast5	fffd8771-722b-4c82-9170-da786b894226	13797ccf3e2df77597eb86d8e23088d7f34ba047	30	38673.222656	3.36575	2692	True	38673.292969	2637	3.297	1199	9.974557	-0.002301	90.342285	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_4757_ch_485_strand.fast5	fffd5301-ee5c-453b-9991-acf6077cafbd	13797ccf3e2df77597eb86d8e23088d7f34ba047	485	3087.331787	5.9705	4776	True	3087.403076	4719	5.89925	2471	10.781208	-0.0015300000000000001	88.187004	10.057983
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_10755_ch_380_strand.fast5	fffd16ad-852f-4c5a-8c62-d8f23a50591b	13797ccf3e2df77597eb86d8e23088d7f34ba047	380	7773.22998	4.9975	3998	True	7773.509765999999	3774	4.7175	1859	11.586807	-0.00108	89.623856	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_11411_ch_289_strand.fast5	fffcdd8c-66d4-4b15-b360-20a46bfdc580	13797ccf3e2df77597eb86d8e23088d7f34ba047	289	6588.506836	2.68975	2151	False	6588.573242	2098	2.6235	722	6.787707000000001	-0.003551	83.51722	10.956017
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_22112_ch_239_strand.fast5	fffc9abb-5c41-47fd-a242-1d15cf88f940	13797ccf3e2df77597eb86d8e23088d7f34ba047	239	39356.941406	4.0005	3200	True	39357.132812	3048	3.8105	1439	8.950133000000001	-0.002357	89.803467	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_41094_ch_244_strand.fast5	fffc4c11-032c-43a2-8cee-f4b1283c9da0	13797ccf3e2df77597eb86d8e23088d7f34ba047	244	24060.664062	7.766	6212	True	24061.099609	5864	7.331	2606	10.756271	-0.001531	91.060715	11.135628
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_4076_ch_10_strand.fast5	fffc21f3-5346-4a9a-a15b-789964fc098d	13797ccf3e2df77597eb86d8e23088d7f34ba047	10	2799.931885	13.15825	10526	True	2799.97583	10491	13.1145	4052	8.865179	-0.0012289999999999998	90.16268199999999	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_47148_ch_422_strand.fast5	fffc0fbf-719d-49b5-86b5-dd36bd366a41	13797ccf3e2df77597eb86d8e23088d7f34ba047	422	32021.478516000003	6.43925	5151	True	32021.636719	5025	6.28175	2915	9.409086	-0.0016820000000000001	90.342285	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_106396_ch_352_strand.fast5	fffc0087-2a70-4749-a665-ef0d99c05548	13797ccf3e2df77597eb86d8e23088d7f34ba047	352	88659.070312	4.37625	3501	False	88659.25	3366	4.2075	220	1.274461	-0.003614	91.240318	8.441528
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_47042_ch_380_strand.fast5	fffbee3a-fe0d-463b-b861-a244e91736a6	13797ccf3e2df77597eb86d8e23088d7f34ba047	380	33308.785156	4.49625	3597	True	33308.785156	3597	4.49625	1572	10.569037	-0.00101	88.725822	10.776413
