filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_146022_ch_359_strand.fast5	fffa610e-f24a-4f37-b04c-383c7c7fed84	13797ccf3e2df77597eb86d8e23088d7f34ba047	359	90380.132812	2.01575	1612	True	90380.179688	1580	1.97575	875	9.149137	-0.001802	81.002724	9.698775999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_6353_ch_343_strand.fast5	fffa3384-cc69-4b67-983c-6635c326a6db	13797ccf3e2df77597eb86d8e23088d7f34ba047	343	4086.34375	2.341	1872	True	4086.6362299999996	1638	2.0485	779	7.492869000000001	-0.001347	86.570541	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_70204_ch_449_strand.fast5	fffa2de0-dee7-4b45-83c1-539916b76760	13797ccf3e2df77597eb86d8e23088d7f34ba047	449	44029.53125	1.59225	1273	True	44029.550781	1259	1.57475	695	11.016327	-0.002508	95.012062	10.956017
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_102061_ch_240_strand.fast5	fffa07fe-92f6-44ec-af89-d7f0183a5451	13797ccf3e2df77597eb86d8e23088d7f34ba047	240	63672.55859400001	1.24225	993	True	63672.57421900001	980	1.226	393	7.57918	-0.000562	93.934425	9.15995
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_27212_ch_169_strand.fast5	fff9fb07-10da-4b70-a47d-446c52448743	13797ccf3e2df77597eb86d8e23088d7f34ba047	169	17527.765625	3.34725	2677	True	17527.802734	2648	3.311	1205	11.078515	-0.0021379999999999997	89.085037	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_17885_ch_72_strand.fast5	fff9cc11-e743-4c02-b94d-c8252b0badb9	13797ccf3e2df77597eb86d8e23088d7f34ba047	72	10230.297852	3.9005	3120	True	10230.448242	3000	3.7505	1430	8.639557	-0.001698	89.98307	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_10178_ch_305_strand.fast5	fff9c19d-a7fd-48cd-9219-06f63e2675bf	13797ccf3e2df77597eb86d8e23088d7f34ba047	305	6169.367188	4.45225	3561	True	6169.605957	3370	4.2135	1603	9.79785	-0.001442	89.264641	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_139848_ch_447_strand.fast5	fff9bfcc-5c5c-4629-9bfb-31c204236673	13797ccf3e2df77597eb86d8e23088d7f34ba047	447	98859.84375	1.519	1215	False	98860.125	981	1.2265	486	5.562012	-0.002094	76.78196700000001	8.531326
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_123766_ch_453_strand.fast5	fff980db-3ec4-4e26-adc1-b7429645e35d	13797ccf3e2df77597eb86d8e23088d7f34ba047	453	100570.773438	1.662	1329	True	100570.804688	1302	1.62825	709	8.222256	-0.0033689999999999996	96.269318	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_174513_ch_130_strand.fast5	fff98095-5206-43d8-9e84-b8a6d14e0426	13797ccf3e2df77597eb86d8e23088d7f34ba047	130	169699.953125	1.58625	1269	False	169700.03125	1202	1.5025	563	6.773376	-0.0036490000000000003	110.817474	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_22568_ch_456_strand.fast5	fff9777f-dcbb-4506-8ba1-945f250afef6	13797ccf3e2df77597eb86d8e23088d7f34ba047	456	34022.875	3.05925	2447	True	34022.902344	2427	3.03425	1103	11.037139	-0.0017079999999999999	92.677177	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_34602_ch_140_strand.fast5	fff9746f-a55e-4d3d-9c99-408f87b38720	13797ccf3e2df77597eb86d8e23088d7f34ba047	140	34128.128906	1.4055	1124	True	34128.210938	1054	1.318	553	8.616635	-0.001253	92.677177	9.698769
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_135246_ch_174_strand.fast5	fff91d4b-facd-48e9-9e3d-3bbb403c3c37	13797ccf3e2df77597eb86d8e23088d7f34ba047	174	117818.1875	1.72575	1380	True	117818.21875	1354	1.69325	664	8.704865	-0.002605	98.424599	11.135628
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_6756_ch_265_strand.fast5	fff8bc5d-20a4-4536-b3f3-dc9ce523117f	13797ccf3e2df77597eb86d8e23088d7f34ba047	265	4580.249511999999	1.1495	919	True	4580.291015999999	886	1.10825	465	10.654160000000001	-0.000669	93.395607	9.878387
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_41430_ch_214_strand.fast5	fff8a61a-c3c1-4b5b-9955-df5976720e0f	13797ccf3e2df77597eb86d8e23088d7f34ba047	214	34061.199219	3.697	2957	True	34061.390625	2805	3.507	1262	11.65455	-0.001393	88.366608	11.494843
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_7763_ch_33_strand.fast5	fff8a42b-252b-46bd-892c-99278ce85e5c	13797ccf3e2df77597eb86d8e23088d7f34ba047	33	5344.096191	5.38525	4308	True	5344.27832	4162	5.20275	1984	10.16141	-0.0017	89.264641	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_31350_ch_96_strand.fast5	fff884e4-8533-4f22-8214-d74801dbddb5	13797ccf3e2df77597eb86d8e23088d7f34ba047	96	15991.070312	5.01025	4008	True	15991.314453	3813	4.7665	1816	10.685300999999999	-0.001912	89.803467	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_24026_ch_43_strand.fast5	fff87ad0-5de3-4f46-a3b6-a11b7d4b26bb	13797ccf3e2df77597eb86d8e23088d7f34ba047	43	13682.932616999999	8.31825	6654	True	13683.042969	6566	8.20825	3018	7.278922000000001	-0.001323	88.187004	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_150421_ch_46_strand.fast5	fff86ee6-fbd0-4557-a714-c0bc65d0acdd	13797ccf3e2df77597eb86d8e23088d7f34ba047	46	92353.367188	2.6265	2101	False	92353.40625	2072	2.59025	759	4.267291	-0.002464	61.96439	8.441525
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_60435_ch_177_strand.fast5	fff84116-0cf2-4e3f-a721-27d48fc23e23	13797ccf3e2df77597eb86d8e23088d7f34ba047	177	40894.6875	2.48375	1987	True	40894.820312	1884	2.355	952	10.274848	-0.001294	97.70616899999999	10.237594999999999
