filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_73341_ch_456_strand.fast5	ffff1417-7838-4f8c-a58a-706337bc8bb7	13797ccf3e2df77597eb86d8e23088d7f34ba047	456	121485.640625	2.55625	2045	True	121486.27343800002	1545	1.93125	713	8.062928999999999	-0.0021579999999999998	75.075699	8.261917
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_108290_ch_371_strand.fast5	fffeaf45-ca92-469d-9820-106f948bd911	13797ccf3e2df77597eb86d8e23088d7f34ba047	371	70627.890625	4.87575	3900	True	70628.0	3811	4.7645	2055	8.650802	-0.002339	96.448921	10.417206
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_53552_ch_88_strand.fast5	fffe47f6-4574-44fe-ab47-51e488a8328c	13797ccf3e2df77597eb86d8e23088d7f34ba047	88	38548.925781	1.80375	1443	True	38549.355469	1099	1.37375	613	8.607778999999999	-0.002306	97.167351	9.519173
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_18857_ch_422_strand.fast5	fffe274a-d87a-416c-9806-beb281344dad	13797ccf3e2df77597eb86d8e23088d7f34ba047	422	9673.052734	1.44075	1152	True	9673.255859	990	1.23825	516	10.611977	-0.001382	88.905434	9.878387
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_19661_ch_230_strand.fast5	fffdfc03-c45a-4e56-8bc0-ba750e5cad39	13797ccf3e2df77597eb86d8e23088d7f34ba047	230	11100.129883	1.681	1344	True	11100.193359	1293	1.61725	537	10.693549	-0.0018920000000000002	90.521889	10.776421000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_15663_ch_146_strand.fast5	fffdb871-eec2-4b81-8894-2083b15b4e00	13797ccf3e2df77597eb86d8e23088d7f34ba047	146	10166.539062	3.86625	3093	False	10166.558594	3077	3.84625	1400	6.686412	-0.002758	89.444252	10.417197999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_27638_ch_372_strand.fast5	fffd6db3-408b-41aa-a569-06aa68e817e8	13797ccf3e2df77597eb86d8e23088d7f34ba047	372	16228.374022999998	3.941	3152	False	16228.402344	3130	3.9135	1169	4.34336	-0.0018030000000000001	92.497566	9.87838
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_132734_ch_99_strand.fast5	fffd6a22-c148-4aeb-9ee5-ef385cc629de	13797ccf3e2df77597eb86d8e23088d7f34ba047	99	93895.171875	3.14175	2513	True	93895.1875	2498	3.123	1281	7.035002	-0.0023420000000000003	82.25997199999999	8.980347
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_50914_ch_183_strand.fast5	fffcb714-8053-4ab5-8820-c65b53ebae47	13797ccf3e2df77597eb86d8e23088d7f34ba047	183	34498.542969	2.69125	2153	True	34498.605469	2106	2.6325	1056	11.206059	-0.00183	86.480736	10.686615
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_64777_ch_158_strand.fast5	fffc97b9-8fbc-43e9-8fde-28e0b3bcc972	13797ccf3e2df77597eb86d8e23088d7f34ba047	158	40930.246094	2.17075	1736	True	40930.550781	1494	1.86825	744	11.934393	-0.0011359999999999999	86.570541	10.417206
