filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	calibration_strand_genome	calibration_strand_genome_start	calibration_strand_genome_end	calibration_strand_strand_start	calibration_strand_strand_end	calibration_strand_num_insertions	calibration_strand_num_deletions	calibration_strand_num_aligned	calibration_strand_num_correct	calibration_strand_identity	calibration_strand_accuracy	calibration_strand_score
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	0b71fee6-3d5a-4cf2-bc1e-5423cb047c5c	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	963	2	660.210266	18.702749	37405	True	660.441772	36942	18.471251000000002	8271	10.098475	0.0	82.606987	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	ea27cef9-9c55-4ebb-a142-8fa2d878afa4	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1334	2	676.610229	2.46125	4922	True	676.610229	4922	2.46125	536	8.285971	0.0	81.14492	4.386212	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	d9ecef6f-4882-4e5e-a0c5-976e201c0631	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	417	3	671.185242	7.66025	15320	True	671.4727780000001	14745	7.37275	3066	11.476832	0.0	119.52426899999999	8.406906	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	47106aa8-8629-4241-b381-a3a7fbeb7357	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	14	1	634.5830080000001	18.983	37966	True	634.878479	37375	18.6875	7594	8.295119	0.0	113.31047099999999	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	d5b9af98-b8b9-4349-9b6a-ef61e5f2bf26	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	603	4	662.004761	14.45675	28913	True	662.004761	28913	14.45675	4636	7.624242999999999	0.0	76.758705	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	6e4f2e33-cf0a-4c13-a612-696ce740b691	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1351	2	647.76123	7.26925	14538	True	648.010254	14040	7.02025	3010	9.305942	0.0	81.510437	9.503459	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	0e9b0955-2e07-4bf4-a71c-d519147840fb	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1734	2	619.85675	23.8435	47687	True	620.325256	46750	23.375	10340	12.068821	0.0	80.41387900000001	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	5a047f29-5b89-4486-881b-708145df2af5	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1417	2	623.35498	5.89425	11788	True	623.576477	11345	5.67275	2007	9.679758	0.0	81.87595400000001	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	3975b3cc-a73a-4494-ba96-1d80310484d2	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1979	1	622.050476	25.104	50208	True	622.1979980000001	49913	24.956498999999997	10153	9.715849	0.0	121.35186000000002	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	36528df2-5b1a-49dc-b881-d966d619db81	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	714	2	623.431274	14.956	29912	True	623.4657589999999	29843	14.9215	6240	11.816647999999999	0.0	77.124222	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	d5818e51-61ce-4d9d-80db-30af0b539df0	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1454	1	622.9865110000001	16.053499	32107	True	622.9865110000001	32107	16.053499	6104	11.596949	0.0	118.062202	8.772424	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	a52359db-24d2-4e31-97b8-aa7b2f44171f	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2388	1	631.560242	19.33625	38672	True	631.560242	38672	19.33625	7612	10.682162	0.0	132.317383	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
