filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_33152_ch_491_strand.fast5	ffffd036-920a-4367-b604-cdbc749bec60	13797ccf3e2df77597eb86d8e23088d7f34ba047	491	31295.623047000005	3.627	2901	False	31295.636719	2892	3.61575	941	4.7554300000000005	-0.002552	91.240318	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_130572_ch_385_strand.fast5	ffffc301-59bf-4930-bcd4-aa05d9bdcd53	13797ccf3e2df77597eb86d8e23088d7f34ba047	385	87702.59375	1.0145	811	True	87702.710938	716	0.89575	327	10.048817999999999	-0.003036	96.628525	11.315230999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_12735_ch_465_strand.fast5	ffff9bf0-2f50-449b-8ae3-217964c054dc	13797ccf3e2df77597eb86d8e23088d7f34ba047	465	7868.735352	4.66375	3731	True	7869.135742	3411	4.26375	1728	10.072215	-0.0014609999999999998	98.424599	10.417197999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_5652_ch_41_strand.fast5	ffff955f-2c7e-4107-a256-5df4b9f0a87c	13797ccf3e2df77597eb86d8e23088d7f34ba047	41	3712.997803	2.0265	1621	True	3713.056396	1574	1.96775	646	8.259683	-0.002393	87.10936	8.980347
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_49196_ch_121_strand.fast5	ffff9061-0799-4e13-a515-616043264436	13797ccf3e2df77597eb86d8e23088d7f34ba047	121	30207.658202999995	1.7725	1418	True	30207.712891000003	1375	1.71875	745	7.978145	-0.002081	93.754814	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_5919_ch_238_strand.fast5	ffff89bd-41dc-4fa9-adc2-fa853c1255a0	13797ccf3e2df77597eb86d8e23088d7f34ba047	238	7308.721191	2.708	2166	True	7308.782227	2117	2.64675	1053	9.621367	-0.002529	88.546219	10.956017
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_56637_ch_68_strand.fast5	ffff5290-962e-40bd-a3e1-4c2d33c042a3	13797ccf3e2df77597eb86d8e23088d7f34ba047	68	49079.191406	1.719	1375	True	49079.21875	1354	1.69275	688	9.014824	-0.0018789999999999998	100.400276	9.519173
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_16764_ch_36_strand.fast5	ffff49f7-95ca-49db-9d74-66458f154e82	13797ccf3e2df77597eb86d8e23088d7f34ba047	36	10129.841797	1.08475	867	True	10129.953125	778	0.9735	423	10.432359	-0.00252	86.211327	9.519165
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_40274_ch_352_strand.fast5	ffff4050-a29a-4c2e-8250-f60300ee0fc9	13797ccf3e2df77597eb86d8e23088d7f34ba047	352	28838.333983999997	2.99875	2399	True	28838.501952999995	2264	2.83	1119	11.307016	-0.0020280000000000003	90.521889	10.956017
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_51442_ch_88_strand.fast5	fffede88-ffa9-478f-8a00-3de35eb6577e	13797ccf3e2df77597eb86d8e23088d7f34ba047	88	37709.074219	2.111	1688	True	37709.097656	1673	2.09225	804	9.909266	-0.001849	96.448921	10.417197999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_1875_ch_428_strand.fast5	fffedd69-e04f-4e1e-8ac0-30ec0b1c29e3	13797ccf3e2df77597eb86d8e23088d7f34ba047	428	1368.432495	1.55375	1243	True	1368.75	989	1.23625	423	11.097589	-0.0016600000000000002	87.468575	10.956024000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_99408_ch_240_strand.fast5	fffedb16-c0ed-4dda-b2fa-f3b653da9b95	13797ccf3e2df77597eb86d8e23088d7f34ba047	240	62566.46484400001	1.82975	1463	True	62566.63671900001	1327	1.65975	605	10.535953	-0.002376	95.550888	10.776413
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_7397_ch_118_strand.fast5	fffe8fb8-0897-4f69-8878-b05894eb721a	13797ccf3e2df77597eb86d8e23088d7f34ba047	118	4094.922363	2.77775	2222	True	4094.949707	2200	2.75025	1007	8.797564999999999	-0.0020629999999999997	83.876434	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_138975_ch_20_strand.fast5	fffe358a-6fe2-4504-81ab-6545bfbd2e35	13797ccf3e2df77597eb86d8e23088d7f34ba047	20	119340.734375	2.80175	2241	False	119340.765625	2212	2.7655	504	5.533778	-0.0019420000000000001	109.560226	11.315239
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_117238_ch_474_strand.fast5	fffe224c-2cc6-4877-92ae-c91445336e4b	13797ccf3e2df77597eb86d8e23088d7f34ba047	474	62450.62109400001	1.30725	1045	True	62450.6875	989	1.23725	580	7.992417	-0.001044	102.016739	11.494843
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_428855_ch_15_strand.fast5	fffe1aaf-ff91-4b4a-82f7-f84c48dee7a5	13797ccf3e2df77597eb86d8e23088d7f34ba047	15	78907.265625	3.21375	2571	True	78907.359375	2497	3.12125	1341	10.211459	-0.001233	95.910103	10.417197999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_185363_ch_372_strand.fast5	fffdc287-d00b-4dbd-a4e2-8d199a2fac8a	13797ccf3e2df77597eb86d8e23088d7f34ba047	372	94984.59375	1.29725	1037	True	94984.640625	1001	1.25225	396	9.440994	-0.0032119999999999996	98.783813	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_2862_ch_434_strand.fast5	fffd8812-bf92-4d82-a725-bdcd8348e7ec	13797ccf3e2df77597eb86d8e23088d7f34ba047	434	1769.328735	3.51275	2810	True	1769.503784	2670	3.33775	992	7.226405000000001	-0.001849	86.031715	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_12698_ch_312_strand.fast5	fffd6ccd-683c-4d4c-80b2-5177a40fce54	13797ccf3e2df77597eb86d8e23088d7f34ba047	312	6927.105956999999	2.59	2072	True	6927.166992	2023	2.52875	1018	7.422733999999999	-0.003295	89.444252	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_421821_ch_86_strand.fast5	fffd3e07-51d6-4ed2-8e77-170906e5cab5	13797ccf3e2df77597eb86d8e23088d7f34ba047	86	48618.472656	2.062	1649	True	48618.546875	1587	1.9845	734	8.624158	-0.002012	97.70616899999999	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_18403_ch_321_strand.fast5	fffd3d33-4abe-4d16-b145-096f4a088266	13797ccf3e2df77597eb86d8e23088d7f34ba047	321	12228.458008	2.465	1972	True	12228.599609	1859	2.32375	863	7.619534	-0.001303	107.94376399999999	10.417197999999999
