filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	calibration_strand_genome	calibration_strand_genome_start	calibration_strand_genome_end	calibration_strand_strand_start	calibration_strand_strand_end	calibration_strand_num_insertions	calibration_strand_num_deletions	calibration_strand_num_aligned	calibration_strand_num_correct	calibration_strand_identity	calibration_strand_accuracy	calibration_strand_score
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	9c826291-447a-4dab-bb3d-e62582808160	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	590	1	39489.054688	35.313751	70627	True	39489.054688	70627	35.313751	13697	7.65865	0.0	112.57943700000001	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	ffa70858-55dc-44a6-b53a-32f385bf9101	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	891	2	39540.910156	8.76825	17536	True	39540.910156	17536	8.76825	3442	7.476549	0.0	72.372498	8.041389	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	3b4af5d5-c7ae-4096-b760-9f6402d7a0d2	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	651	2	39539.328125	9.79325	19586	True	39539.585938	19075	9.53775	3686	9.847137	0.0	73.103531	8.772424	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	da41f845-a4f5-471e-b512-943bc0808e6f	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	1998	3	39511.203125	25.123248999999998	50246	True	39511.210938	50232	25.116249	10009	7.596493	0.0	126.834625	8.772424	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	28be31d6-b9d0-4bcc-bcd4-8d829efde0e9	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2237	3	39521.8125	8.628	17256	True	39521.8125	17256	8.628	2769	7.241317	0.0	97.958733	8.041389	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	d4ceeb3e-d344-4e95-9a75-98b942dabf8c	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2954	4	39498.90625	20.31625	40632	True	39499.050781	40345	20.17275	7833	9.513678	0.0	81.14492	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	548e93d8-c1d8-44a7-b92e-d8ce6bf2da36	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	2524	1	39497.796875	13.17575	26351	True	39497.804688	26338	13.16925	4800	7.3790309999999995	0.0	109.65529599999999	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	8558be0c-be74-46f7-b339-c54a9c15d20d	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	1821	4	39530.132812	18.72925	37458	True	39530.476562	36770	18.38525	6908	8.827616	0.0	78.951813	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	4002b490-b380-47fa-8494-e9dc5c979a35	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	888	3	39507.367188	19.141001	38282	True	39507.472656	38075	19.0375	7577	7.752525	0.0	100.151833	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_998.fast5	e7be9ae8-73bd-407a-b730-c656df5c73f7	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	3	367	1	39525.921875	2.5425	5085	False	39526.027344	4870	2.435	588	6.137125	0.0	123.544968	10.600012	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
